ID,Address,Business Type,Company Name,Local Authorities,Products Sold,Status
0,"31 Whytescauseway,  KY1 1XF",Other Catering,BAR B Q KING ,Fife,Tobacco And Nicotine Vapour Products,Active
1,"15 Birkmyre Avenue,  PA14 5AR",Convenience Store,Birkmyre store,Inverclyde,Tobacco And Nicotine Vapour Products,Active
2,"British Petroleum Co plc, Service Station, 91 Burnbank Road ML3 9AN",Forecourt Garage,Roshan Francisxavier ,South Lanarkshire,Tobacco And Nicotine Vapour Products,Active
3,"Kings Building, University of Edinburgh, Mary Bruck Building, Colin Maclaurin Road , Edinburgh , EH9 3DW EH9 3DW",Other Retail,Edinburgh University Students Assosciation,Edinburgh City,Tobacco And Nicotine Vapour Products,Active
4,"281-283 High Street, Leslie KY6 3AX",Confectionary / Tobacconist / Newsagents,G&M Newsagents,Fife,Tobacco Only,Inactive
5,"72-76 Murraygate,  DD1 2BB",Supermarket and Other Retail Outlets,shery trading,Dundee City,Nicotine Vapour Products Only,Active
6,"366 Cumbernauld Road,  G31 3NQ",Convenience Store,1 Stop News,Glasgow City,Tobacco Only,Active
7,"9 Knockothie Road,  AB41 9EG",Other Catering,10 Dollar Shake,Aberdeenshire,Tobacco Only,Active
8,"23 glasgow road, wishaw ML2 7PG",Convenience Store,maukinfauld ltd,North Lanarkshire,Tobacco And Nicotine Vapour Products,Active
9,"135 garscadden road,  G15 6UQ",Convenience Store,ats management t/a 10 o'clock shop,Glasgow City,Tobacco Only,Active
10,"694B Old Edinburgh Road, Viewpark G71 6LD",Off-Licence,10 O'Clock Shop,North Lanarkshire,Tobacco Only,Active
11,"360 Curtis Avenue,  G73 2EB",Public House,Bonatti Bros,South Lanarkshire,Tobacco Only,Active
12,"107/109 Cheviot Crescent ,  DD4 9QR",Convenience Store,Mohammed Dih,Dundee City,Tobacco And Nicotine Vapour Products,Active
13,"66 Long Row,  PA28 6DD",Convenience Store,11 o'clock Shop,Argyll and Bute,Tobacco Only,Active
14,"Best One , 1763 - 1765  Cumbernauld Road G33 1AA",Convenience Store,Hyndland Street Convenience,Glasgow City,Tobacco And Nicotine Vapour Products,Active
15,"Sweet News, 12 Cathkin Drive, Clarkston G76 7PF",Convenience Store,Cathkin news Ltd,East Renfrewshire,Tobacco Only,Active
16,"12/14 Eral Gray Street,  EH3 9BN",Other Retail,bargain spot,Edinburgh City,Tobacco Only,Inactive
