"","Address","BusinessType","ProductSold","CompanyName","Status"
"1","31 Whytescauseway,  KY1 1XF, Scotland","Fife","Tobacco And Nicotine Vapour Products","BAR B Q KING ","Active"
"2","15 Birkmyre Avenue,  PA14 5AR, Scotland","Inverclyde","Tobacco And Nicotine Vapour Products","Birkmyre store","Active"
"3","British Petroleum Co plc, Service Station, 91 Burnbank Road ML3 9AN, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","Roshan Francisxavier ","Active"
"4","Kings Building, University of Edinburgh, Mary Bruck Building, Colin Maclaurin Road , Edinburgh , EH9 3DW EH9 3DW, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","Edinburgh University Students Assosciation","Active"
"5","281-283 High Street, Leslie KY6 3AX, Scotland","Fife","Tobacco Only","G&M Newsagents","Inactive"
"6","72-76 Murraygate,  DD1 2BB, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","shery trading","Active"
"7","366 Cumbernauld Road,  G31 3NQ, Scotland","Glasgow City","Tobacco Only","1 Stop News","Active"
"8","9 Knockothie Road,  AB41 9EG, Scotland","Aberdeenshire","Tobacco Only","10 Dollar Shake","Active"
"9","23 glasgow road, wishaw ML2 7PG, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","maukinfauld ltd","Active"
"10","135 garscadden road,  G15 6UQ, Scotland","Glasgow City","Tobacco Only","ats management t/a 10 o'clock shop","Active"
"11","694B Old Edinburgh Road, Viewpark G71 6LD, Scotland","North Lanarkshire","Tobacco Only","10 O'Clock Shop","Active"
"12","360 Curtis Avenue,  G73 2EB, Scotland","South Lanarkshire","Tobacco Only","Bonatti Bros","Active"
"13","107/109 Cheviot Crescent ,  DD4 9QR, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","Mohammed Dih","Active"
"14","66 Long Row,  PA28 6DD, Scotland","Argyll and Bute","Tobacco Only","11 o'clock Shop","Active"
"15","Best One , 1763 - 1765  Cumbernauld Road G33 1AA, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","Hyndland Street Convenience","Active"
"16","Sweet News, 12 Cathkin Drive, Clarkston G76 7PF, Scotland","East Renfrewshire","Tobacco Only","Cathkin news Ltd","Active"
"17","12/14 Eral Gray Street,  EH3 9BN, Scotland","Edinburgh City","Tobacco Only","bargain spot","Inactive"
"18","12-14 Jeffrey street,  EH1 1DT, Scotland","Edinburgh City","Tobacco Only","Dochgarroch and Santiago ltd","Active"
"19","28a Greenhill Road, Rutherglen G73 2SP, Scotland","South Lanarkshire","Tobacco Only","123 Deli & Shop","Inactive"
"20","125 Roman road,  ML1 1EA, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","S&z store ltd","Active"
"21","127 old castle news agent,  G44 5TJ, Scotland","Glasgow City","Tobacco Only","old castle news agent","Active"
"22","131 Station Road,  ML7 4BJ, Scotland","North Lanarkshire","Tobacco Only","David & Isla Brown (Newsagents) t/a 131","Inactive"
"23","131 station road,  ML7 4BJ, Scotland","North Lanarkshire","Tobacco Only","131 newsagents","Active"
"24","143 high st,  G1 1PH, Scotland","Glasgow City","Tobacco Only","vehniwals","Active"
"25","18 Lindsay Drive,  KA3 7LJ, Scotland","North Ayrshire","Tobacco And Nicotine Vapour Products","Premier Stores","Active"
"26","18 teviot place,  EH1 2QZ, Scotland","Edinburgh City","Tobacco Only","Le petit marche","Active"
"27","19 Albert Street,  DD4 6NS, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","Head Happy","Active"
"28","192, carseview FK10 2ST, Scotland","Clackmannanshire","Tobacco Only","KCices","Active"
"29","main street, southerness DG2 8AZ, Scotland","Dumfries and Galloway","Tobacco Only","19 th hole","Active"
"30","296 main street, bellshill ML4 1AB, Scotland","North Lanarkshire","Tobacco Only","1st 4 convenience","Inactive"
"31","159 pitkerro road,  DD4 8DH, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","1st choice superstore","Active"
"32","32-38 Fintry Drive,  DD4 9PB, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","1st Stop 2 Shop","Active"
"33","81 south street,  DD8 2BS, Scotland","Angus","Tobacco And Nicotine Vapour Products","1st STOP 2 SHOP","Active"
"34","3 shielhill road,  DD8 4PN, Scotland","Angus","Tobacco Only","1st STOP 2 SHOP","Inactive"
"35","74-76 Glamis Road,  DD8 5DD, Scotland","Angus","Tobacco Only","1st Stop 2 Shop","Active"
"36","74-76 GLAMIS ROAD,  DD8 5DD, Scotland","Angus","Tobacco And Nicotine Vapour Products","SHEENI & ZAKI  LTD","Active"
"37","32-34 Fintry Drive,  DD4 9PB, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","Closer","Active"
"38","33 Rossie Island Road,  DD10 9NR, Scotland","Angus","Tobacco Only","2go stores ltd","Active"
"39","2 Victoria Buildings`, Drumna N63 6TU, Scotland","Highland","Nicotine Vapour Products Only","Donal Bolger","Active"
"40","20 Annsfield Road,  ML3 8BQ, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","Shaz CONVENIENCE store Ltd ","Active"
"41","21, dalrymple street KA26 9EU, Scotland","South Ayrshire","Nicotine Vapour Products Only","THE LAND OF BARGAINS","Active"
"42","SARACEN STREET,  G22 5JW, Scotland","Glasgow City","Tobacco Only","SCOTT NEWS","Active"
"43","380 Dumbarton Road,  G11 6RZ, Scotland","Glasgow City","Tobacco Only","Closer To Ltd","Active"
"44","404 Byres Road,  G12 8AS, Scotland","Glasgow City","Tobacco Only","Dusk til Dawn (Byres) Ltd","Active"
"45","sandbank street, maryhill G20 0PQ, Scotland","Glasgow City","Tobacco Only","pba superstore","Active"
"46","27 Ladymuir Crescent, Pollock G53 5UE, Scotland","Glasgow City","Tobacco Only","salvie store ltd","Active"
"47","27, Ladymuir crescent G53 5UE, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","New sialvie ltd","Active"
"48","29 Royal Exchange Square,  G1 3AJ, Scotland","Glasgow City","Tobacco Only","One up trading as glenerrol","Active"
"49","296 cumbernauld road,  G31 2UL, Scotland","Glasgow City","Tobacco Only","ashraif ltd","Active"
"50","331, calder road EH11 4AH, Scotland","Edinburgh City","Tobacco Only","2c drinks n things","Inactive"
"51","3/1 3 Carfin Street,  G42 7QA, Scotland","Glasgow City","Tobacco Only","SM PK STORE","Active"
"52","67-69 Elmbank Street,  G2 4PQ, Scotland","Glasgow City","Tobacco Only","3 in 1 Fast Foods Ltd","Active"
"53","35 main street roslin,  EH25 9LA, Scotland","Midlothian","Tobacco Only","roslin moni market","Active"
"54","375a Victoria Road,  G42 8RZ, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","Ebrahim Ahmed","Active"
"55","M Sharif Supermarked Offsales, 3 Grougar Road, Crookedholm KA3 6LD, Scotland","East Ayrshire","Tobacco And Nicotine Vapour Products","3cornerbestonestore ltd","Active"
"56","217 High Street,  KY4 9QF, Scotland","Fife","Tobacco Only","4 aces catering services","Inactive"
"57","87 Commercial Road, Gorbals G5 0RG, Scotland","Glasgow City","Tobacco Only","4 S News","Active"
"58","40 High Street,  PA1 2DQ, Scotland","Renfrewshire","Tobacco Only","Z&S Traders Ltd","Inactive"
"59","40 victoria roads, torry AB11 9DR, Scotland","Aberdeen City","Tobacco Only","tony newsagents","Inactive"
"60","43 Barnton Street,  FK8 1HF, Scotland","Stirling","Tobacco And Nicotine Vapour Products","43 Barnton Street","Active"
"61","4-6 Old Sneddon Street,  PA3 2AL, Scotland","Renfrewshire","Tobacco And Nicotine Vapour Products","4-6 Old Sneddon Street","Active"
"62","St Catherines Crecent,  ML7 4JG, Scotland","North Lanarkshire","Tobacco Only","Angies Ices","Active"
"63","32 Glasgow road, Barrhead G78 1BU, Scotland","East Renfrewshire","Tobacco Only","Red road grocer","Active"
"64","51 Main Street,  DG8 0PP, Scotland","Dumfries and Galloway","Tobacco Only","Glenluce Post Office and Store","Active"
"65","main street, neilston G78 3NJ, Scotland","East Renfrewshire","Tobacco Only","Flames Tandoori Ltd","Active"
"66","524  George Street,  AB25 3XJ, Scotland","Aberdeen City","Tobacco Only","524 Bar Ltd","Active"
"67","Aramark Balmacara House, Balmacara IV40 8DH, Scotland","Highland","Tobacco Only","Aramark","Active"
"68","56 North, 2 West Crosscauseway EH8 9JP, Scotland","Edinburgh City","Tobacco Only","Sutherland Hospitality Limited","Active"
"69","60-62 Main Road, Kirkoswald KA19 8HY, Scotland","South Ayrshire","Tobacco Only","Kirkoswald P.O. and General Store","Active"
"70","275/277, Broughty Ferry DD5 2AG, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","Farooq Traders Ltd","Active"
"71","325, Hilltown DD3 7AQ, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","Farooq Traders Ltd","Active"
"72","383 sauchiehall street, glasgow G2 3HU, Scotland","Glasgow City","Tobacco Only","7 Days News","Active"
"73","6 kenneder drive,  G51 4PT, Scotland","Glasgow City","Tobacco Only","7 eleven news","Active"
"74","18 quarrywood avenue, Barrmulloch G21 3ES, Scotland","Glasgow City","Tobacco Only","7 star spices","Active"
"75","ECO HOUSE, WESTER GOURDIE IND. ESTATE, NOBEL ROAD DD2 4XE, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","710 VACS LIMITED","Active"
"76","Post Office, Main Street KW3 6AE, Scotland","Highland","Tobacco And Nicotine Vapour Products","727 Newsagent","Active"
"77","71 South Bridge Street,  EH48 1TJ, Scotland","West Lothian","Tobacco Only","A.Brothers Company Limited","Inactive"
"78","232 paisley road, renfrew PA4 8AA, Scotland","Renfrewshire","Tobacco Only","7to7","Inactive"
"79","7/9 , CHURCH ST KY11 1LG, Scotland","Fife","Tobacco And Nicotine Vapour Products","8-2-8","Active"
"80","Naval Families Estate, 51 Sherbrooke Road KY11 2YR, Scotland","Fife","Tobacco Only","Aramark","Inactive"
"81","RAF Kinloss, Forres IV36 0KG, Scotland","Moray","Tobacco Only","Aramark","Active"
"82","Aramark Block 211, RM Condor DD11 3SJ, Scotland","Angus","Tobacco Only","Aramark","Active"
"83","CBDCartel.co.uk, 86 Victoria Road AB11 9DT, Scotland","Aberdeen City","Nicotine Vapour Products Only","animus Concia limited","Active"
"84","99 Hanover Street,  EH2 1DJ, Scotland","Edinburgh City","Tobacco Only","99 Hanover Street Limited","Active"
"85","88 High Street,,  EH44 6HF, Scotland","Scottish Borders","Tobacco Only","A & A Caldwell","Active"
"86","32 Harris Court,  FK10 1DD, Scotland","Clackmannanshire","Tobacco Only","A & A Mini Market Ltd","Active"
"87","2 HIGH STREET ,  FK10 1JE, Scotland","Clackmannanshire","Tobacco And Nicotine Vapour Products","Hasan stores limited ","Active"
"88","2 high street,  FK10 1JE, Scotland","Clackmannanshire","Tobacco Only","hasan stores ltd","Active"
"89","The Square, Castlebay HS9 5XD, Scotland","Comhairle nan Eilean Siar","Tobacco Only","A & C MacLean","Active"
"90","CENTRAL GARAGE, 64 MAIN STREET ML11 8AA, Scotland","South Lanarkshire","Tobacco Only","A & C ROSS","Active"
"91","314 KING STREET,  AB24 5BJ, Scotland","Aberdeen City","Tobacco Only","A & C Smart Ltd","Active"
"92","324 High Street,  KY6 3AT, Scotland","Fife","Tobacco Only","A & K Ices","Active"
"93","2160-2162 dumbarton road,  G14 0JJ, Scotland","Glasgow City","Tobacco Only","A & M convenience store","Active"
"94","23 Buccleuch st,  DG1 2AT, Scotland","Dumfries and Galloway","Tobacco Only","A & M Edgars","Active"
"95","38-42 HAMILTON CRESCENT, NEWTONGRANGE EH22 4BU, Scotland","Midlothian","Tobacco Only","A & M TRENCH & SON","Active"
"96","86/88 Mayfield Road,  EH9 3AF, Scotland","Edinburgh City","Tobacco Only","A & P Savile Store","Inactive"
"97","102 Motherwell St,  ML6 7EJ, Scotland","North Lanarkshire","Tobacco Only","A & R Stores","Active"
"98","Craighill View,  EH48 3SY, Scotland","West Lothian","Tobacco Only","A & S Convenience Store","Active"
"99","18 West Boreland Road, Denny FK6 6NY, Scotland","Falkirk","Tobacco Only","A & Z Stores","Inactive"
"100","A & Z Stores, 18 West Boreland Road FK6 6NY, Scotland","Falkirk","Tobacco And Nicotine Vapour Products","A & Z Stores ","Active"
"101","106 Glasgow Road,  FK6 5DN, Scotland","Stirling","Tobacco Only","A A Newsagents","Active"
"102","84 BRIDGEND ROAD,  PA15 2JJ, Scotland","Inverclyde","Tobacco Only","a and r grocers","Inactive"
"103","118 Hillside Drive,  DG9 7PW, Scotland","Dumfries and Galloway","Tobacco Only","A and R McCulloch","Active"
"104","55 Central Avenue,  KA10 7AZ, Scotland","South Ayrshire","Tobacco And Nicotine Vapour Products","A C Currie Ltd t/a Keystore","Active"
"105","MAIN STREET, EAST TARBERT HS3 3AL, Scotland","Comhairle nan Eilean Siar","Tobacco Only","A D MUNRO HARRIS LTD","Active"
"106","265 - 267 Byres Road,  G12 8TL, Scotland","Glasgow City","Tobacco Only","A F & J Barrett","Active"
"107","158 ST LEONARDS STREET,  ML11 7DX, Scotland","South Lanarkshire","Tobacco Only","A F K CATERING LTD","Active"
"108","11 Queen Street,  AB42 3DS, Scotland","Aberdeenshire","Tobacco And Nicotine Vapour Products","A F Yule","Active"
"109","11 DALRYMPLE STREET,  KA26 9EU, Scotland","South Ayrshire","Tobacco And Nicotine Vapour Products","A G DUNLOP NEWSAGENTS","Active"
"110","East Isle, Skerries ZE2 9AR, Scotland","Shetland Islands","Tobacco Only","A Humphray","Active"
"111","97 CAMPERDOWN ROAD,  DD3 8RF, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","DAVID WALDIE LTD","Active"
"112","12, HIGH STREET DG10 9HF, Scotland","Dumfries and Galloway","Tobacco And Nicotine Vapour Products","A M GRIEVE NEWSAGENTS","Active"
"113","High Street, Gifford EH41 4QU, Scotland","East Lothian","Tobacco Only","A M Hogg","Active"
"114","126 Dukes Road,,  G73 5AF, Scotland","South Lanarkshire","Tobacco Only","A N F Newsagents","Inactive"
"115","TYRIE COTTAGE, 14 STATION ROAD KY5 9QW, Scotland","Fife","Tobacco Only","A P MACARI","Active"
"116","7 bain street, gallowgate G40 2JZ, Scotland","Glasgow City","Tobacco Only","a r traders","Active"
"117","1a Dock Place,  EH6 6LU, Scotland","Edinburgh City","Tobacco Only","archie and richie ltd","Active"
"118","72 Sheephousehill, Fauldhouse EH47 9EF, Scotland","West Lothian","Tobacco And Nicotine Vapour Products","Closer","Active"
"119","5 GARTLEAHILL,  ML6 9LE, Scotland","North Lanarkshire","Tobacco Only","A SHAKOOR & SON","Active"
"120","63/65 Main Street,  EH37 5PZ, Scotland","Midlothian","Tobacco Only","albert Wahlberg & Sons","Active"
"121","132 Tweedsmuir Road, Cardonald G52 2RY, Scotland","Glasgow City","Tobacco Only","A Wee Dram","Active"
"122","44, Sinclair Drive G42 9QE, Scotland","Glasgow City","Tobacco Only","A Wee Dram","Active"
"123","6-8 Webster Street, Whitecrook G81 1AZ, Scotland","West Dunbartonshire","Tobacco Only","A Z Superstore","Active"
"124","1 South Clerk Street,  EH8 9JD, Scotland","Edinburgh City","Tobacco Only","A&A Bargain Store","Active"
"125","824 Mosspark Drive, Cardonald G52 3DA, Scotland","Glasgow City","Tobacco Only","A&A Chaudry","Active"
"126","52 Easter Road,  EH7 5RQ, Scotland","Edinburgh City","Tobacco Only","A&A Foodstore","Inactive"
"127","13 Carrick Place, Tamfourhill FK1 4SB, Scotland","Falkirk","Tobacco Only","A&A Ices","Active"
"128","41 South Trinity Road,  EH5 3PN, Scotland","Edinburgh City","Tobacco Only","A&A Newsagents","Active"
"129","75-79 king street crieff,  PH7 3HB, Scotland","Perth and Kinross","Tobacco And Nicotine Vapour Products","A&ANewsagents/Premier&post office","Active"
"130","A & A Stores, 24 High Street East KY10 3DQ, Scotland","Fife","Tobacco And Nicotine Vapour Products","lawhill services ltd","Active"
"131","2A White Hill Avenue,  G66 2JJ, Scotland","East Dunbartonshire","Tobacco And Nicotine Vapour Products","A&A Super Stores","Active"
"132","92 Glenhove Road,  G67 2LA, Scotland","North Lanarkshire","Tobacco Only","A&A Super Stores","Active"
"133","12 hazel avenue,  G82 5BW, Scotland","West Dunbartonshire","Tobacco Only","A&B ices","Active"
"134","Unit 4, South Elgin Street G81 1PL, Scotland","West Dunbartonshire","Tobacco Only","A&B Partnership","Active"
"135","61 Larkfield Road,  PA19 1YB, Scotland","Inverclyde","Tobacco Only","A&D Stores","Inactive"
"136","Fultons Stores, 61 Larkfield Road PA19 1YB, Scotland","Inverclyde","Tobacco And Nicotine Vapour Products","A&D stores (Gourock)ltd","Active"
"137","17 Lamont Crescent, Fallin FK7 7EJ, Scotland","Stirling","Tobacco Only","A&E Ices","Active"
"138","Paccitti Sweet Shop, 126 Dukes Road, Rutherglen G73 5AF, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","A&F Newsagents","Active"
"139","40 Deacons Road, Kilsyth G65 0BN, Scotland","North Lanarkshire","Tobacco Only","A&F scotland ltd","Inactive"
"140","1B RASHIEHILL TERRACE, BREICH EH55 8JL, Scotland","West Lothian","Tobacco Only","A&H CONVENIENCE STORE LTD.","Active"
"141","161-163 Low Waters Road,  ML3 7QQ, Scotland","South Lanarkshire","Tobacco Only","A&H Newsagents","Inactive"
"142","76 Muir Street,  ML9 2BQ, Scotland","South Lanarkshire","Tobacco Only","A&H Newsagents","Inactive"
"143","163 Low Waters Road,  ML3 7QQ, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","A&H Newsagents","Active"
"144","170 Main Street,  KA9 1PG, Scotland","South Ayrshire","Tobacco Only","A&H Phillip","Active"
"145","Carn Raineach, Camustiel IV54 8LT, Scotland","Highland","Tobacco Only","A&J Brown Grocers","Active"
"146","27 South Street,  EH51 9HE, Scotland","Falkirk","Tobacco And Nicotine Vapour Products","A&J Newsagents","Active"
"147","19 Main Street,  FK7 9AW, Scotland","Stirling","Tobacco Only","A&J Snacks","Active"
"148","17, Justice street AB11 5HS, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","A&k stores","Active"
"149","12 The Square,  KA18 1BG, Scotland","East Ayrshire","Tobacco And Nicotine Vapour Products","A&L Bryce","Active"
"150","18 Hospital Hill,  KY11 3AT, Scotland","Fife","Tobacco Only","A&L Newsagents","Inactive"
"151","3 Stuart Street,  KA28 0AN, Scotland","North Ayrshire","Tobacco Only","A&M Caldwell","Active"
"152","64 Philip Avenue, Boghall EH48 1NG, Scotland","West Lothian","Tobacco Only","A&N Stores","Active"
"153","126 Cumbrae Drive,  FK1 4AW, Scotland","Falkirk","Tobacco And Nicotine Vapour Products","a&o rana licened grocers","Active"
"154","78 High Street,  ML12 6BJ, Scotland","South Lanarkshire","Tobacco Only","A&P Jamieson t/a Ian Hamilton","Inactive"
"155","135  pitkerro road, 135 pitkerro road DD4 8EB, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","a&r  newsagents","Active"
"156","218 newhaven road,  EH6 4QE, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","a&r supermarket","Active"
"157","138 Graham Road,  FK2 7BZ, Scotland","Falkirk","Tobacco Only","A&S Asian Grocers (Halal Continental Food Store)","Active"
"158","72 Sheephousehill , FAULDHOUSE EH47 9EF, Scotland","West Lothian","Tobacco And Nicotine Vapour Products","A&S Convenience Scotland Ltd","Active"
"159","72 Sheephouse Hill, Fauldhouse EH47 9EF, Scotland","West Lothian","Tobacco Only","A&S Convenience Store","Inactive"
"160","152 sinclair dr, battlefield G42 9SF, Scotland","Glasgow City","Tobacco Only","a&s newsagents","Active"
"161","18 Barlandfauld Steet,  G65 0BU, Scotland","North Lanarkshire","Tobacco Only","A&S Superstore","Active"
"162","2 lochies road,  FK10 4EL, Scotland","Clackmannanshire","Tobacco And Nicotine Vapour Products","A&T FOODSTORES","Active"
"163","93 Bannerfield Drive,  TD7 5BG, Scotland","Scottish Borders","Tobacco Only","A&Z Superstores","Active"
"164","A & Z  Superstore, 93 Bannerfield Drive TD7 5BG, Scotland","Scottish Borders","Nicotine Vapour Products Only","Premier","Active"
"165","5 Castle Street,  DG11 1NY, Scotland","Dumfries and Galloway","Tobacco Only","A. Crolla & Sons","Active"
"166","22 Hairst street, Renfrew PA4 8QY, Scotland","Renfrewshire","Tobacco And Nicotine Vapour Products","A.Y. (GRP 3) News Limited","Active"
"167","5 Tiree Crecent, Newmains ML2 9HF, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","A.A Brothers Newsagents","Active"
"168","53 Lomond Drive, Bishopbriggs G64 3BY, Scotland","East Dunbartonshire","Tobacco Only","A.A Mini Market","Active"
"169","155 Deanston Drive, Shawlands G41 3LP, Scotland","Glasgow City","Tobacco Only","A.B and Sons","Active"
"170","A D Munro Harris Ltd, Tarbert HS3 3DJ, Scotland","Comhairle nan Eilean Siar","Tobacco And Nicotine Vapour Products","A.D Munro Ltd","Active"
"171","12 MONKLAND ROAD,  EH48 2BQ, Scotland","West Lothian","Tobacco Only","A.G.S (GB) LTD","Active"
"172","14 Lamont Way, Knightsridge EH54 8LF, Scotland","West Lothian","Tobacco Only","A.G.S. Foodstore","Active"
"173","182 Crown street, Ferryhill AB11 6JD, Scotland","Aberdeen City","Tobacco Only","A.I & S Wells ltd","Inactive"
"174","17 Mid Shore, Pittenweem KY10 2NL, Scotland","Fife","Tobacco Only","A.J Nicholson","Inactive"
"175","214-216 Low Waters Road,  ML3 7QR, Scotland","South Lanarkshire","Tobacco Only","N.S Stores","Inactive"
"176","100 Sprinboig Road, Springboig G32 0JX, Scotland","Glasgow City","Tobacco Only","A.K Brothers","Active"
"177","25 Old Coach Road, East Mains G74 4DS, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","A.M News","Active"
"178","29/31, main street PA28 6AD, Scotland","Argyll and Bute","Tobacco Only","karensa glendinning t/a a.mckellar grocers","Active"
"179","58 - 60 MAIN STREET, SANDHEAD DG9 9JQ, Scotland","Dumfries and Galloway","Tobacco And Nicotine Vapour Products","A.McKENZIE & SONS","Active"
"180","225 hamilton road, cambuslang G72 7PH, Scotland","South Lanarkshire","Tobacco Only","a.news","Active"
"181","32 Main Street,  EH55 8DR, Scotland","West Lothian","Tobacco Only","A.R. Douglas","Active"
"182","59 Mayfield Road,  EH9 3AA, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","A.S Mini Market","Active"
"183","380 PAISLEY ROAD WEST,  G51 1BG, Scotland","Glasgow City","Tobacco Only","A-1 OFFSALES","Active"
"184","46 Magdalene Drive,  EH15 3DZ, Scotland","Edinburgh City","Tobacco Only","A1 Store","Inactive"
"185","2 woodhill road, bishopbriggs G41 1JN, Scotland","East Dunbartonshire","Tobacco And Nicotine Vapour Products","a1 supermarket","Active"
"186","151 MANSE RD,  G65 0EU, Scotland","North Lanarkshire","Tobacco Only","A1TRADERS","Inactive"
"187","33 SUMMERHILL DRIVE,  AB15 6EQ, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","A19 STORES LTD","Active"
"188","1 goodhope park,  AB21 9NE, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","A19 STORES LTD","Active"
"189","2081 paisley road west, 2081 paisley road west G52 3JH, Scotland","Glasgow City","Tobacco Only","aa brother","Inactive"
"190","11 barnsdale road,  FK7 0PT, Scotland","Stirling","Tobacco Only","AA newsagent","Inactive"
"191","11 Barnsdale Road,  FK7 0PT, Scotland","Stirling","Tobacco And Nicotine Vapour Products","AA newsagent ","Active"
"192","UNIT 94, THE CENTRE EH54 6HR, Scotland","West Lothian","Tobacco Only","AA RETAIL LTD","Active"
"193","Star News, 18 Grantlea Terrace G32 9JN, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","AA Star News & Grocers","Active"
"194","33 scotstoun road, cowie FK7 7AL, Scotland","Stirling","Tobacco And Nicotine Vapour Products","aa store","Active"
"195","Daytoday, 43 Farm Road G73 9DT, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","AA Superstore Ltd","Active"
"196","115 Carstairs street, Bridgeton G40 4JQ, Scotland","Glasgow City","Tobacco Only","Giovanni Porelli","Active"
"197","49 Bridge Street,  AB35 5QD, Scotland","Aberdeenshire","Tobacco Only","A B Yule Newsagents","Active"
"198","65 South Clerk Street,  EH8 9PP, Scotland","Edinburgh City","Tobacco Only","Cherwell Tobacco","Active"
"199","Rhymers Fare, 17 Market Square TD6 9PL, Scotland","Scottish Borders","Tobacco Only","Rhymers Fayre","Active"
"200","28 Constitution Street,  DD3 6NB, Scotland","Dundee City","Tobacco Only","Abbey Newsagents","Inactive"
"201","Unit 12, 5 Allan Crescent KY11 4HE, Scotland","Fife","Nicotine Vapour Products Only","Abbeyvapes","Active"
"202","Abbots Brae Hotel, 55 Bullwood Road PA23 7QJ, Scotland","Argyll and Bute","Tobacco Only","Abbots Brae Hotel","Inactive"
"203","Stirling Road,  G82 2PJ, Scotland","West Dunbartonshire","Tobacco Only","Marjor Hotel Ltd","Active"
"204","51 INCHINNAN ROAD, RENFREW PA4 9AE, Scotland","Renfrewshire","Tobacco And Nicotine Vapour Products","DULAI FUELS LTD","Active"
"205","19 -21 Balnagask Road,  AB11 8HU, Scotland","Aberdeen City","Tobacco Only","Abbys News","Inactive"
"206","201 portobello High Street,  EH15 1EU, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","Abdul Qayyum","Active"
"207","2-6 wellesley road,  KY8 3AE, Scotland","Fife","Tobacco And Nicotine Vapour Products","NILA RETAIL LIMITED","Active"
"208","112 Main Street, Aberchirder AB54 7TD, Scotland","Aberdeenshire","Tobacco And Nicotine Vapour Products","The Co-operative Group Food ltd","Active"
"209","Forgan Roundabout, A92,  DD6 8RB, Scotland","Fife","Tobacco And Nicotine Vapour Products","S F Retail LTD","Active"
"210","204 Union Street,  AB10 1QS, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","The Co-operative Group Food ltd","Active"
"211","485 Great Western Road,  AB10 6NN, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","The Co-operative Group Food ltd","Active"
"212","76-78 Countesswells Road,  AB15 7YJ, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","The Co-operative Group Food ltd","Active"
"213","466 George Street,  AB25 3XH, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","The Co-operative Group Food ltd","Active"
"214","93 Rosehill Drive,  AB24 4JS, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","The Co-operative Group Food ltd","Active"
"215","293 Rosemount Place,  AB25 2YB, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","The Co-operative Group Food ltd","Active"
"216","21 Scotstown Road, Bridge Of Don AB22 8HH, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","The Co-operative Group Food ltd","Active"
"217","Unit 1 Beach Boulevard Retail Park, Links Road AB24 5EZ, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","Asda Stores Ltd","Active"
"218","Inshops, 8-10 Market Street AB11 5NX, Scotland","Aberdeen City","Nicotine Vapour Products Only","Aberdeen Hardware Store ","Active"
"219","8-10 Market Street Aberdeen,  AB11 5NX, Scotland","Aberdeen City","Nicotine Vapour Products Only","Dazed","Inactive"
"220","The Market Village, 8-10 Market Street AB11 5NX, Scotland","Aberdeen City","Tobacco Only","Aberdeen Smoke Shop","Active"
"221","Inshops, 8-10 Market Street AB11 5NX, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","aberdeen souvenirs ","Active"
"222","4 CANAL ROAD,  AB25 3TL, Scotland","Aberdeen City","Tobacco Only","ABERDEEN TRANSPORT CLUB","Active"
"223","474 union street,  AB10 1TS, Scotland","Aberdeen City","Tobacco Only","aberdeen whisky shop","Active"
"224","9 The Square,  PH15 2DD, Scotland","Perth and Kinross","Nicotine Vapour Products Only","The Original Factory Shop","Active"
